Date,Media Sources,Neutral,Positive,Text,Tweet Polarity,Tweets Order
12/15/2019,BBC News (UK),1.0,0.0,bbcspobbc sports personality coach year 2019 john blackie https tco g41wwvyta #spoty https tco gmpc,0.0,100
12/15/2019,BBC News (UK),0.759,0.241,bbcspowinner bbc sports personality lifetime achievement award baroness tanni greythompson https tco g4,0.8074,99
12/15/2019,BBC News (UK),0.678,0.227,bbcspoyears helen rollason award goes man shown immense bravery incredible heaadversity,0.5994,98
12/15/2019,BBC News (UK),0.906,0.0,bbcspobbc sports personality world spostar year 2019 eliud kipchoge moment broke twohou,-0.4215,97
12/15/2019,BBC News (UK),0.574,0.426,bbcspowinner bbc sports personality unsung hero award goes keiren thompson nottingham whos inspired many ch,0.9337,96
12/15/2019,BBC News (UK),1.0,0.0,bbcspofive minutes gothis follow #spoty across bbc bbcone bbciplayer bbcspowebsite bbcspor,0.0,95
12/15/2019,BBC News (UK),0.807,0.0,british man shot dead robbery outside hotel buenos aires named 50yearold matthew gibbard northampto https tco lme2k6ahu,-0.6486,94
12/15/2019,BBC News (UK),0.758,0.242,prince louis earliest words inspired tv cook mary berry https tco zukbqhy7yo,0.4939,93
12/15/2019,BBC News (UK),1.0,0.0,bbcweather bbcwthrwatchers spotted large hailstones today including #powys 22mm spot ev,0.0,92
12/15/2019,BBC News (UK),0.856,0.0,bbcspotyson fury split trainer ben davison two years togetherthe announcement comes two months,-0.5719,91
12/15/2019,BBC News (UK),0.777,0.0,faulty valve leaves thousands without water bedfordshire https tco 5ms1vdln,-0.3182,90
12/15/2019,BBC News (UK),0.901,0.0,bbcworld guymon way becoming ghost town opening food processing plantmany meican immigrants arrived,-0.3182,89
12/15/2019,BBC News (UK),1.0,0.0,strictly come dancing final draws 113 million viewers https tco rvtp9hijl,0.0,88
12/15/2019,BBC News (UK),0.804,0.0,sundays headliner spot longer blank space https tco dwuvobk7e8,-0.296,87
12/15/2019,BBC News (UK),0.65,0.35,thank amazing eperience lifethe winners strictly come dancing announced https tco lch9floplr,0.8655,86
12/15/2019,BBC News (UK),1.0,0.0,bbcworld moment bushfire spread across tree canopy australia phenomenon called crowning tap epand https,0.0,85
12/15/2019,BBC News (UK),0.634,0.194,bbcpolitics disastershadow chancellor john mcdonnell apologises wonderful labour mps l,-0.0964,84
12/15/2019,BBC News (UK),1.0,0.0,bbcspochinas state broadcaster reportedly pulled coverage arsenals premier league game man cityit follows comments,0.0,83
12/15/2019,BBC News (UK),1.0,0.0,ministers reviewing licence fee evasion sanction https tco yqngbmh,0.0,82
12/15/2019,BBC News (UK),1.0,0.0,bbcpolitics cannot hold scotland union scotlands first minister nicola sturgeon says snps succes,0.0,81
12/15/2019,BBC News (UK),0.743,0.257,starcinspired australia claim 296run win new zealand first test https tco oge6ooouq,0.5859,80
12/15/2019,BBC News (UK),0.559,0.0,bbcworld botswana cancels hunters licences killing elephant https tco ae8uruk9ta,-0.743,79
12/15/2019,BBC News (UK),0.809,0.0,bbcpolitics general election 2019 let labour leadership battle commence https tco 2cusmq8v5b,-0.3818,78
12/15/2019,BBC News (UK),1.0,0.0,stormzy says hes tried communicate maya ahttps tco l8oliblab,0.0,77
12/15/2019,BBC News (UK),0.717,0.283,bbcpolitics john mcdonnell labour leadership race rebecca long bailey ecellent could brilliant leader#mar,0.8176,76
12/15/2019,BBC News (UK),0.857,0.0,bbcpolitics shadow chancellor john mcdonnell discusses labours defeat #marrthe establishment owns media country,-0.4588,75
12/15/2019,BBC News (UK),0.871,0.0,bbcbreaking far cry science tells us needed lengthy un climate talks end compromise recrimination https,-0.4767,74
12/15/2019,BBC News (UK),1.0,0.0,bbcspochinas state broadcaster reportedly pulled coverage arsenals premier league game man cityit follows comments,0.0,73
12/15/2019,BBC News (UK),1.0,0.0,remember stillborn babies christmas cards https tco cargbassdz,0.0,72
12/15/2019,BBC News (UK),0.766,0.0,bbcworld first time history black women hold titles miss usa miss teen usa miss america miss universe,-0.5267,71
12/15/2019,BBC News (UK),1.0,0.0,bbcworld anna karina french new wave cinema legend dies aged 79 https tco aafcwsyt0a,0.0,70
12/15/2019,BBC News (UK),0.669,0.331,hope theyll found bring little bit joy christmas https tco mey3jhbb7o,0.7533,69
12/15/2019,BBC News (UK),1.0,0.0,bbcpolitics #marr russia repopublishedconservative rishi sunak cant tell eactly p,0.0,68
12/15/2019,BBC News (UK),1.0,0.0,man shot hull street armed police https tco mavqutj13o,0.0,67
12/15/2019,BBC News (UK),0.902,0.0,bbcpolitics general election 2019 john mcdonnell sorry catastrophic election result https tco bnerzkttia,-0.0772,66
12/15/2019,BBC News (UK),0.821,0.0,bbcscotlandnews firefighters tackle major fire glasgow city centre https tco vapcarhcbg https tco uz0fj7roab,-0.34,65
12/15/2019,BBC News (UK),1.0,0.0,bbcpolitics conservative rishi sunak #indyref2 absolutely intention hold one#marr https tco wdakdwa1h htt,0.0,64
12/15/2019,BBC News (UK),1.0,0.0,bbcspoty #spoty klaon gordonramsay message youyou vote bbcspoty 2019 tonights live show b,0.0,63
12/15/2019,BBC News (UK),0.918,0.0,bbcpolitics #marr going stand labours net leaderlisa nandy im seriously thinking ithttps tco zphfpv,-0.1779,62
12/15/2019,BBC News (UK),0.804,0.133,bbcspoaustralia set new zealand mammoth 468 win first test perth attempt going well,0.4563,61
12/15/2019,BBC News (UK),0.801,0.199,bbcpolitics nicola sturgeon scotland cannot imprisoned uk https tco uzjk0vyq,0.357,60
12/15/2019,BBC News (UK),0.7,0.0,bbcworld husband relatives killed 358 people village killedhasina begun says myanmar milita,-0.875,59
12/15/2019,BBC News (UK),0.819,0.078,bbcpolitics anyones blame meshadow chancellor john mcdonnell apologises #marr labours election campaign dis,-0.1531,58
12/15/2019,BBC News (UK),0.875,0.042,bbcpolitics boris johnson thinks saying end matter going find completely utterly wrong,-0.2732,57
12/15/2019,BBC News (UK),1.0,0.0,bbcweather going another windy day many today especially across southern britain gusts 40 55mph also turni,0.0,56
12/15/2019,BBC News (UK),1.0,0.0,bbcworld iran foils second cyberattack week https tco eipyavhnr3,0.0,55
12/15/2019,BBC News (UK),0.696,0.114,bbcnews general election 2019 jeremy corbyn apologises heavy labour defeat https tco iuk5lcrnpq,-0.296,54
12/15/2019,BBC News (UK),0.681,0.0,bbcworld new zealand volcano death toll rises 16 two remain missing https tco id1p64sd4k,-0.7269,53
12/15/2019,BBC News (UK),0.751,0.0,bbcworld british man shot dead robbery outside hotel buenos aires https tco slvgcftnq,-0.6486,52
12/15/2019,BBC News (UK),0.629,0.224,bbcnews samantha morton care system fit purpose https tco 2bll5wasbd,0.2709,51
12/15/2019,BBC News (UK),1.0,0.0,bbcworld uk provide light bulb moment us democrats https tco ziwb2v8ik,0.0,50
12/15/2019,BBC News (UK),0.847,0.153,bbcnews premier league results liverpools lead etended top https tco qc04b8tvf,0.2023,49
12/15/2019,BBC News (UK),1.0,0.0,bbcnews cher lloyd im conveyor belt https tco odtjuid8pg,0.0,48
12/15/2019,BBC News (UK),0.855,0.0,bbcnews avoid election fallout fam christmas https tco ibnwnpio,-0.296,47
12/15/2019,BBC News (UK),0.84,0.0,bbcnews hong kong protests test beijings foreign meddling narrative https tco av6jdo0vl,-0.2263,46
12/15/2019,BBC News (UK),0.769,0.0,bbcnews kitchen gardens combat climate change https tco oz20wa3un,-0.34,45
12/15/2019,BBC News (UK),0.471,0.0,bbcnews post office fiasco decade hell accused https tco hibhh5sdez,-0.8779,44
12/15/2019,BBC News (UK),0.602,0.205,bbcnews jurgen klopp liverpool boss rejects champions league epansion claims https tco ufgfwtvai,0.0516,43
12/15/2019,BBC News (UK),1.0,0.0,bbcnews sports personality year 2019 vote https tco 74bdmhaio,0.0,42
12/15/2019,BBC News (UK),0.87,0.13,bbcworld greta thunberg apologises put leaders wall comment https tco j884bvuj0,0.2023,41
12/15/2019,BBC News (UK),0.913,0.0,bbcworld skiing santas baby pandas twoheaded snake stories may missed week tap epand h,-0.296,40
12/15/2019,BBC News (UK),1.0,0.0,sports personality year vote online https tco gwshc28kgo,0.0,39
12/15/2019,BBC News (UK),0.458,0.0,dagenham stabbing murder arrest man dies https tco nj3phckdbf,-0.7964,38
12/15/2019,BBC News (UK),1.0,0.0,leicester 11 norwich foes fall behind liverpool draw https tco lzj8yilavj,0.0,37
12/15/2019,BBC News (UK),0.652,0.13,general election 2019 jeremy corbyn apologises heavy labour defeat https tco iuk5lcrnpq,-0.296,36
12/15/2019,BBC News (UK),0.643,0.0,new zealand volcano death toll rises 16 two remain missing https tco lrbtj3sy0q,-0.7269,35
12/15/2019,BBC News (UK),0.489,0.0,lebanon crisis dozens hupolice protesters clash beirut https tco gshzkmz4bj,-0.8555,34
12/15/2019,BBC News (UK),0.583,0.0,albania earthquake arrests deaths collapsed buildings https tco kowyr2njzw,-0.6124,33
12/15/2019,BBC News (UK),0.672,0.0,man released partners death wigan hospital https tco vzuodjk5dl,-0.5994,32
12/15/2019,BBC News (UK),0.569,0.26,samantha morton care system fit purpose https tco 2bll5wasbd,0.2709,31
12/15/2019,BBC News (UK),1.0,0.0,saracens 156 munster mark mccall says medics comment jamie george caused brawl https tco jvlzvbwqs,0.0,30
12/15/2019,BBC News (UK),0.816,0.184,premier league results liverpools lead etended top https tco qc04b8tvf,0.2023,29
12/15/2019,BBC News (UK),1.0,0.0,cher lloyd im conveyor belt https tco odtjuid8pg,0.0,28
12/15/2019,BBC News (UK),0.833,0.0,avoid election fallout fam christmas https tco ibnwnpio,-0.296,27
12/15/2019,BBC News (UK),0.808,0.0,hong kong protests test beijings foreign meddling narrative https tco av6jdo0vl,-0.2263,26
12/15/2019,BBC News (UK),0.714,0.0,kitchen gardens combat climate change https tco oz20wa3un,-0.34,25
12/15/2019,BBC News (UK),0.409,0.0,post office fiasco decade hell accused https tco hibhh5sdez,-0.8779,24
12/15/2019,BBC News (UK),0.548,0.233,jurgen klopp liverpool boss rejects champions league epansion claims https tco ufgfwtvai,0.0516,23
12/15/2019,BBC News (UK),1.0,0.0,sports personality year 2019 vote https tco 74bdmhaio,0.0,22
12/15/2019,BBC News (UK),0.435,0.0,ale rodda man charged murder cheshire boys death https tco ci3qoldlj,-0.886,21
12/14/2019,BBC News (UK),0.703,0.297,newspaper headlines boris johnsons whitehall revolution election win https tco dhl8rzface,0.5859,20
12/14/2019,BBC News (UK),0.73,0.27,eliud kipchoge wins world spostar year 2019 https tco gdu5to7qd,0.5719,19
12/14/2019,BBC News (UK),0.693,0.307,strictly come dancing 2019 crowns winners https tco 2ztktadys7,0.4767,18
